Date,EUR/USD Close,EUR/USD High,EUR/USD Low
1/18/2016,1.0889,1.0936,1.0869
1/19/2016,1.09134,1.0939,1.08597
1/20/2016,1.08801,1.09757,1.08776
1/21/2016,1.0883,1.0921,1.0778
1/22/2016,1.0793,1.0876,1.079
1/25/2016,1.0852,1.08539,1.079
1/26/2016,1.08553,1.08742,1.0819
1/27/2016,1.08969,1.09163,1.08511
1/28/2016,1.09502,1.09675,1.087
1/29/2016,1.0831,1.09485,1.08102
2/1/2016,1.08929,1.09127,1.0815
2/2/2016,1.09177,1.094,1.08857
2/3/2016,1.1105,1.11454,1.09039
2/4/2016,1.12,1.12392,1.10698
2/5/2016,1.11452,1.12504,1.11091
2/8/2016,1.12042,1.12158,1.10867
2/9/2016,1.1287,1.13378,1.11626
2/10/2016,1.1291,1.13113,1.11607
2/11/2016,1.1331,1.13764,1.12745
2/12/2016,1.12542,1.13338,1.12143
2/15/2016,1.11446,1.125,1.11282
2/16/2016,1.11415,1.1193,1.11245
2/17/2016,1.11437,1.1179,1.11064
2/18/2016,1.11023,1.11495,1.10712
2/19/2016,1.1126,1.11391,1.10668
2/22/2016,1.10297,1.1127,1.10034
2/23/2016,1.10169,1.10526,1.09904
2/24/2016,1.10092,1.10462,1.09575
2/25/2016,1.1036,1.10496,1.09868
2/26/2016,1.0938,1.10681,1.0912
2/29/2016,1.08858,1.09624,1.08595
3/1/2016,1.08709,1.08937,1.08345
3/2/2016,1.0866,1.08808,1.08259
3/3/2016,1.0964,1.09725,1.08539
3/4/2016,1.09938,1.10432,1.09038
3/7/2016,1.1009,1.1026,1.09403
3/8/2016,1.10069,1.10576,1.09937
3/9/2016,1.10064,1.1035,1.09464
3/10/2016,1.11849,1.12179,1.08224
3/11/2016,1.11529,1.12095,1.10807
3/14/2016,1.1097,1.11757,1.10781
3/15/2016,1.111,1.1125,1.10723
3/16/2016,1.12248,1.12423,1.10581
3/17/2016,1.1316,1.13423,1.12055
3/18/2016,1.12681,1.1337,1.12565
3/21/2016,1.12494,1.1285,1.12347
3/22/2016,1.1219,1.1261,1.11888
3/23/2016,1.1181,1.12233,1.11598
3/24/2016,1.11753,1.11874,1.11443
3/25/2016,1.1162,1.11792,1.11545
3/28/2016,1.11999,1.12198,1.1153
3/29/2016,1.1302,1.1303,1.11691
3/30/2016,1.13369,1.13653,1.1286
3/31/2016,1.13845,1.14116,1.13107
4/1/2016,1.1394,1.14377,1.13347
4/4/2016,1.1396,1.14125,1.13576
4/5/2016,1.1381,1.14051,1.13361
4/6/2016,1.1405,1.14315,1.13268
4/7/2016,1.13724,1.14539,1.13379
4/8/2016,1.13996,1.14192,1.1349
4/11/2016,1.14057,1.14472,1.13725
4/12/2016,1.1393,1.14646,1.13455
4/13/2016,1.12864,1.1391,1.12726
4/14/2016,1.1262,1.12947,1.1234
4/15/2016,1.1285,1.13169,1.12458
4/18/2016,1.13142,1.13322,1.1274
4/19/2016,1.1368,1.13845,1.13038
4/20/2016,1.1298,1.13878,1.12911
4/21/2016,1.1293,1.13972,1.12704
4/22/2016,1.1229,1.13084,1.12185
4/25/2016,1.12626,1.12781,1.12189
4/26/2016,1.12817,1.13396,1.12565
4/27/2016,1.13125,1.13604,1.12721
4/28/2016,1.1352,1.13679,1.1296
4/29/2016,1.14465,1.14591,1.13484
5/2/2016,1.15182,1.15349,1.14486
5/3/2016,1.15055,1.16162,1.15013
5/4/2016,1.1493,1.15293,1.14666
5/5/2016,1.1401,1.1494,1.13862
5/6/2016,1.14018,1.14802,1.13871
5/9/2016,1.13847,1.14196,1.13757
5/10/2016,1.13691,1.14097,1.13586
5/11/2016,1.14234,1.1447,1.13699
5/12/2016,1.1371,1.1429,1.13722
5/13/2016,1.13188,1.13796,1.12832
